Job_N,Model_FU.,Empirical_FU.,App.Cry.str.,Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_V)[GPa],Shear(G_V)[GPa],Young(E_V)[GPa],Bulk(B_R)[GPa],Shear(G_R)[GPa],Young(E_R)[GPa],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Hv:Polycrystalline,Hv:Single-crystal,F.Toughness(MPam1/2),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B],D/B:,N-Cauchy_P.[GPa],D/B:,Born's_Stability,A(U):Universal_Anisotropy,A(B):Percent_Bulk_Anisotropy,A(G):Percent_Shear_Anisotropy,A(Z):Zener_Anisotropy,A(1):Shear_Anisotropy,A(2):Shear_Anisotropy,A(3):Shear_Anisotropy,Lame's(Lammda)[GPa],Lame's(Mu)[GPa],V_trans[m/s],V_longi[m/s],V_mean[m/s],C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66
7898,C1N1,CN,Cubic,3.607741,3.607741,3.607741,46.95762,3.68,-11.900433,2.892,-3.756,33.66,1799.1,306.21,368.65,789.23,306.21,365.82,784.89,306.21,367.23,787.06,74.026,75.296,55.452,5.674,3710.46,5.3991,0.072,1.199,Brittle,308.21,Brittle,stable,0.0387,0,0.0039,1.1966,1.1966,1.1966,1.1966,61.75,367.1,10009,14735,10915,745.88,86.37,86.37,0,0,0,86.37,745.88,86.37,0,0,0,86.37,86.37,745.88,0,0,0,0,0,0,394.58,0,0,0,0,0,0,394.58,0,0,0,0,0,0,394.58,0.001374,-0.00014,-0.00014,0,0,0,-0.00014,0.001374,-0.00014,0,0,0,-0.00014,-0.00014,0.001374,0,0,0,0,0,0,0.002534,0,0,0,0,0,0,0.002534,0,0,0,0,0,0,0.002534
7899,C1O1,CO,Cubic,3.977597,3.977597,3.977597,62.93066,2.956,-9.44588,2.765,-3.308,19.75,1055.8,172.95,120.57,293.5,172.95,120.11,292.6,172.95,120.34,293.05,18.104,18.574,18.171,2.563,1910.77,3.0234,0.218,0.696,Brittle,28,Brittle,stable,0.0191,0,0.0019,0.882,0.882,0.882,0.882,93,120.3,6369,10601,7045,345.95,86.44,86.44,0,0,0,86.44,345.95,86.44,0,0,0,86.44,86.44,345.95,0,0,0,0,0,0,114.44,0,0,0,0,0,0,114.44,0,0,0,0,0,0,114.44,0.003211,-0.00064,-0.00064,0,0,0,-0.00064,0.003211,-0.00064,0,0,0,-0.00064,-0.00064,0.003211,0,0,0,0,0,0,0.008738,0,0,0,0,0,0,0.008738,0,0,0,0,0,0,0.008738
7904,C1Al1,AlC,Cubic,4.26802,4.26802,4.26802,77.74625,3.331,-11.995325,0.56,-5.251,16.55,884.8,187.75,109.82,275.71,187.75,107.08,269.93,187.75,108.45,272.82,13.616,13.334,16.376,2.626,1989.44,2.3869,0.258,0.578,Brittle,-4.71,Ductile,stable,0.1279,0,0.0126,0.7225,0.7225,0.7225,0.7225,115.6,108.43,5711,9998,6347,363.43,99.91,99.91,0,0,0,99.91,363.43,99.91,0,0,0,99.91,99.91,363.43,0,0,0,0,0,0,95.2,0,0,0,0,0,0,95.2,0,0,0,0,0,0,95.2,0.003122,-0.00067,-0.00067,0,0,0,-0.00067,0.003122,-0.00067,0,0,0,-0.00067,-0.00067,0.003122,0,0,0,0,0,0,0.010504,0,0,0,0,0,0,0.010504,0,0,0,0,0,0,0.010504
7914,C1Si1,SiC,Cubic,4.048686,4.048686,4.048686,66.36549,4.013,-13.574723,0.609,-5.734,21.96,1174.1,239.35,228.13,519.38,239.35,194.17,458.52,239.35,211.15,488.95,35.285,36.547,31.884,4.03,2201.97,3.2354,0.159,0.882,Brittle,140.87,Brittle,stable,0.8745,0,0.0804,2.2926,2.2926,2.2926,2.2926,98.35,210.94,7279,11432,8002,410.66,153.69,153.69,0,0,0,153.69,410.66,153.69,0,0,0,153.69,153.69,410.66,0,0,0,0,0,0,294.56,0,0,0,0,0,0,294.56,0,0,0,0,0,0,294.56,0.003059,-0.00083,-0.00083,0,0,0,-0.00083,0.003059,-0.00083,0,0,0,-0.00083,-0.00083,0.003059,0,0,0,0,0,0,0.003395,0,0,0,0,0,0,0.003395,0,0,0,0,0,0,0.003395
7924,C1Cr1,CrC,Cubic,4.062755,4.062755,4.062755,67.05973,6.34,-18.397401,0.247,-5.842,15.24,814.9,327.9,161.88,417.02,327.9,152.65,396.44,327.9,157.27,406.73,14.341,13.335,23.748,4.078,3099,2.3315,0.293,0.48,Ductile,-58.1,Ductile,stable,0.3023,0,0.0293,0.6085,0.6085,0.6085,0.6085,222.63,157.28,4984,9215,5563,610,186.85,186.85,0,0,0,186.85,610,186.85,0,0,0,186.85,186.85,610,0,0,0,0,0,0,128.75,0,0,0,0,0,0,128.75,0,0,0,0,0,0,128.75,0.001914,-0.00045,-0.00045,0,0,0,-0.00045,0.001914,-0.00045,0,0,0,-0.00045,-0.00045,0.001914,0,0,0,0,0,0,0.007767,0,0,0,0,0,0,0.007767,0,0,0,0,0,0,0.007767
7926,C1Fe1,FeC,Cubic,3.991757,3.991757,3.991757,63.60516,7.086,-16.257718,0.674,-5.836,12.86,687.4,335.47,130.04,345.48,335.47,108.57,294,335.47,119.31,319.74,8.396,6.797,18.016,3.561,3065.66,2.0254,0.341,0.356,Ductile,-118.74,Ductile,stable,0.9888,0,0.09,0.4151,0.4151,0.4151,0.4151,255.68,119.22,4104,8357,4609,602.59,201.91,201.91,0,0,0,201.91,602.59,201.91,0,0,0,201.91,201.91,602.59,0,0,0,0,0,0,83.17,0,0,0,0,0,0,83.17,0,0,0,0,0,0,83.17,0.001995,-0.0005,-0.0005,0,0,0,-0.0005,0.001995,-0.0005,0,0,0,-0.0005,-0.0005,0.001995,0,0,0,0,0,0,0.012023,0,0,0,0,0,0,0.012023,0,0,0,0,0,0,0.012023
7927,C1Co1,CoC,Cubic,4.004111,4.004111,4.004111,64.19755,7.34,-14.639121,0.884,-5.815,11.1,593.4,303.77,105.61,283.91,303.77,78.83,217.66,303.77,92.22,250.79,5.847,4.005,13.925,2.984,2787.6,1.7517,0.362,0.304,Ductile,-127.77,Ductile,stable,1.6986,0,0.1452,0.3234,0.3234,0.3234,0.3234,241.51,92.07,3542,7619,3989,540.8,185.26,185.26,0,0,0,185.26,540.8,185.26,0,0,0,185.26,185.26,540.8,0,0,0,0,0,0,57.49,0,0,0,0,0,0,57.49,0,0,0,0,0,0,57.49,0.002241,-0.00057,-0.00057,0,0,0,-0.00057,0.002241,-0.00057,0,0,0,-0.00057,-0.00057,0.002241,0,0,0,0,0,0,0.017393,0,0,0,0,0,0,0.017393,0,0,0,0,0,0,0.017393
7928,C1Ni1,NiC,Cubic,4.071189,4.071189,4.071189,67.47826,6.959,-12.491989,1.171,-5.448,10.3,550.3,255.47,80.3,218.07,255.47,75.02,204.99,255.47,77.66,211.53,5.177,3.335,11.727,2.532,1841.79,1.5981,0.362,0.304,Ductile,-121.63,Ductile,stable,0.3519,0,0.034,1.7081,1.7081,1.7081,1.7081,203.7,77.65,3343,7187,3764,330.62,217.9,217.9,0,0,0,217.9,330.62,217.9,0,0,0,217.9,217.9,330.62,0,0,0,0,0,0,96.27,0,0,0,0,0,0,96.27,0,0,0,0,0,0,96.27,0.006349,-0.00252,-0.00252,0,0,0,-0.00252,0.006349,-0.00252,0,0,0,-0.00252,-0.00252,0.006349,0,0,0,0,0,0,0.010388,0,0,0,0,0,0,0.010388,0,0,0,0,0,0,0.010388
7930,C1Zn1,ZnC,Cubic,4.390629,4.39063,4.39063,84.64091,6.074,-7.027593,1.721,-2.873,7.59,405.8,143.69,49.21,132.51,143.69,36.35,100.56,143.69,42.78,116.54,3.318,1.367,6.46,1.464,1501.05,1.0917,0.365,0.298,Ductile,-61.67,Ductile,stable,1.7689,0,0.1503,0.3166,0.3166,0.3166,0.3166,115.42,42.69,2660,5762,2997,254.9,88.08,88.08,0,0,0,88.08,254.9,88.08,0,0,0,88.08,88.08,254.9,0,0,0,0,0,0,26.41,0,0,0,0,0,0,26.41,0,0,0,0,0,0,26.41,0.00477,-0.00122,-0.00122,0,0,0,-0.00122,0.00477,-0.0012,0,0,0,-0.0012,-0.00122,0.00477,0,0,0,0,0,0,0.037861,0,0,0,0,0,0,0.03786,0,0,0,0,0,0,0.03786
7939,C1Y1,YC,Cubic,5.035948,5.035948,5.035948,127.7155,5.248,-15.593457,0.104,-6.102,7.46,398.6,138.23,51.29,136.93,138.23,42.28,115.11,138.23,46.79,126.02,4.08,2.332,7.065,1.608,1455.83,0.9283,0.348,0.338,Ductile,-52.75,Ductile,stable,1.0655,0,0.0963,0.4023,0.4023,0.4023,0.4023,107.02,46.74,3026,6267,3402,244.85,84.92,84.92,0,0,0,84.92,244.85,84.92,0,0,0,84.92,84.92,244.85,0,0,0,0,0,0,32.17,0,0,0,0,0,0,32.17,0,0,0,0,0,0,32.17,0.004972,-0.00128,-0.00128,0,0,0,-0.00128,0.004972,-0.00128,0,0,0,-0.00128,-0.00128,0.004972,0,0,0,0,0,0,0.031081,0,0,0,0,0,0,0.031081,0,0,0,0,0,0,0.031081
